song,spotify uri_code,img
I Love Rock 'N Roll,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,https://i.scdn.co/image/ab67616d0000b2733c73b2e0a6aa490736f19751
I Me Mine - Remastered 2009,spotify:track:2BMqay80iBzZTa608Y1eG1,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1
I Saw Her Standing There - Remastered 2009,spotify:track:3KiexfmhxHvG5IgAElmTkd,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
I Wanna Go,spotify:track:5cCAZS9VhLGEDV4NCfieeg,https://i.scdn.co/image/ab67616d0000b273fda0f2adec40250bea55101b
I Want To Hold Your Hand - Remastered 2015,spotify:track:4pbG9SUmWIvsROVLF0zF9s,https://i.scdn.co/image/ab67616d0000b273582d56ce20fe0146ffa0e5cf
I Want You (She's So Heavy) - Remastered 2009,spotify:track:3Z25k4ZF6QENy2d9YatsM5,https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25
I Will Wait,spotify:track:1fXiYSWmkKJfRKMegCkI11,https://i.scdn.co/image/ab67616d0000b2736e2407383e952808a0602b0d
I Wonder,spotify:track:7rbECVPkY5UODxoOUVKZnA,https://i.scdn.co/image/ab67616d0000b27326f7f19c7f0381e56156c94a
I'm Looking Through You - Remastered 2009,spotify:track:5E3BVY66TEDexFutOO5GeS,https://i.scdn.co/image/ab67616d0000b273ed801e58a9ababdea6ac7ce4
I'm Shipping Up To Boston,spotify:track:7rSERmjAT38lC5QhJ8hnQc,https://i.scdn.co/image/ab67616d0000b273030915ffa58125ae36f13a6f
Ice Ice Baby,spotify:track:11d9oUiwHuYt216EFA2tiz,https://i.scdn.co/image/ab67616d0000b2734bb0c02f38a183d19b410662
If I Fell - Remastered 2009,spotify:track:1hgvykolO4kBIEozATmpyj,https://i.scdn.co/image/ab67616d0000b273e230f303815e82a86713eedd
Immigrant Song - Remaster,spotify:track:2uuMXKKmdXrY2XxsqTsGp0,https://i.scdn.co/image/ab67616d0000b27322f1b6c28ce5735646b2e569
In The Air Tonight - 2015 Remastered,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,https://i.scdn.co/image/ab67616d0000b273f6954c1f074f66907a8c5483
It Won't Be Long - Remastered 2009,spotify:track:4ekUX4pWizXXksJe0JfS9U,https://i.scdn.co/image/ab67616d0000b273608a63ad5b18e99da94a3f73
It's Still Rock and Roll to Me,spotify:track:64UioB4Nmwgn2f4cbIpAkl,https://i.scdn.co/image/ab67616d0000b27322d5199692d318c28d6c7d9b
Jet Fuel,spotify:track:2JmFRXaJrkAUD2cs6U20KG,https://i.scdn.co/image/ab67616d0000b273175c577a61aa13d4fb4b6534
Juke Box Hero,spotify:track:00qOE7OjRl0BpYiCiweZB2,https://i.scdn.co/image/ab67616d0000b27362d48acfd5073491df46f7ac
Jump - 2015 Remaster,spotify:track:7N3PAbqfTjSEU1edb2tY8j,https://i.scdn.co/image/ab67616d0000b273b414c63fb435b622238c15ed
Jump Around,spotify:track:6JymsaWDHk2Yj4e0yNBIFH,https://i.scdn.co/image/ab67616d0000b273c9f143444515b5106b0e4de5
Just What I Am,spotify:track:20bJBbPapGQ4bqs0YcA9xY,https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629
Kids,spotify:track:1jJci4qxiYcOHhQR247rEU,https://i.scdn.co/image/ab67616d0000b2738b32b139981e79f2ebe005eb
Killer Queen - Remastered 2011,spotify:track:7GqWnsKhMtEW0nzki5o0d8,https://i.scdn.co/image/ab67616d0000b27359998815d706661e2c404d9f
Knife Talk (with 21 Savage ft. Project Pat),spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,https://i.scdn.co/image/ab67616d0000b273cd945b4e3de57edd28481a3f
Last Friday Night (T.G.I.F.),spotify:track:3avYqdwHKEq8beXbeWCKqJ,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888
Let It Be - Remastered 2015,spotify:track:7iN1s7xHE4ifF5povM6A48,https://i.scdn.co/image/ab67616d0000b27384243a01af3c77b56fe01ab1
Let It Happen,spotify:track:2X485T9Z5Ly0xyaghN73ed,https://i.scdn.co/image/ab67616d0000b2739e1cfc756886ac782e363d79
Let It Rock,spotify:track:6TrNRd98WksT9Kkmx9uj6R,https://i.scdn.co/image/ab67616d0000b2732442cdde190f8a1112e084ee
Life is a Highway,spotify:track:5gB2IrxOCX2j9bMnHKP38i,https://i.scdn.co/image/ab67616d0000b273a73bb6afa8cb999aafb3c150
Like AG 6,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf,https://i.scdn.co/image/ab67616d0000b27358b08d62231dfca8d358b876
Locked Out of Heaven,spotify:track:3w3y8KPTfNeOKPiqUTakBh,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46
Love Me Do - Remastered 2009,spotify:track:3VbGCXWRiouAq8VyMYN2MI,https://i.scdn.co/image/ab67616d0000b273dbeec63ad914c973e75c24df
Love Song,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,https://i.scdn.co/image/ab67616d0000b2731c3e0a58f3ee28af2922e351
Love The Way You Lie,spotify:track:15JINEqzVMv3SvJTAXAKED,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100
Lovely Rita - Remastered 2009,spotify:track:6h9W5FxX4E9lUFsyq8j1AD,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
Lucy In The Sky With Diamonds - Remastered 2009,spotify:track:25yQPHgC35WNnnOUqFhgVR,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
Magick,spotify:track:7sydeO8cH2pLPkF5gF0Q1h,https://i.scdn.co/image/ab67616d0000b2738453fb487a83469a1b8aa454
Maneater,spotify:track:7j74lucZ59vqN67Ipe2ZcY,https://i.scdn.co/image/ab67616d0000b273cfe4163cbb6d12f3ec15898e
Mirrors,spotify:track:4rHZZAmHpZrA3iH5zx8frV,https://i.scdn.co/image/ab67616d0000b273db1d1cdc927a07825a2ed244
